,ISO Week Start Date,Country,Account,Product,Value in USD
0,2013-12-30,United States,Revenue,Product A,88158.0
1,2013-12-30,United States,Labor,Product A,17270.0
2,2013-12-30,United States,Raw Materials,Product A,19318.518953230487
3,2013-12-30,United States,Admin,Product A,8772.0
4,2013-12-30,United States,Utilities,Product A,6092.0
5,2013-12-30,United States,Revenue,Product B,50410.093013359365
6,2013-12-30,United States,Labor,Product B,15734.0
7,2013-12-30,United States,Raw Materials,Product B,15393.093013359361
8,2013-12-30,United States,Admin,Product B,8444.0
9,2013-12-30,United States,Utilities,Product B,6171.0
10,2013-12-30,United States,Revenue,Overhead,48921.45964179508
11,2013-12-30,United States,Labor,Overhead,18322.0
12,2013-12-30,United States,Raw Materials,Overhead,14808.459641795078
13,2013-12-30,United States,Admin,Overhead,7433.0
14,2013-12-30,United States,Utilities,Overhead,4215.0
15,2013-12-30,Canada,Revenue,Product A,69769.0
16,2013-12-30,Canada,Labor,Product A,15051.0
17,2013-12-30,Canada,Raw Materials,Product A,13144.968511121613
18,2013-12-30,Canada,Admin,Product A,9843.0
19,2013-12-30,Canada,Utilities,Product A,5904.0
20,2013-12-30,Canada,Revenue,Product B,53503.138453155174
21,2013-12-30,Canada,Labor,Product B,18666.0
22,2013-12-30,Canada,Raw Materials,Product B,19501.138453155174
23,2013-12-30,Canada,Admin,Product B,7747.0
24,2013-12-30,Canada,Utilities,Product B,3975.0
25,2013-12-30,Canada,Revenue,Overhead,56105.595017748914
26,2013-12-30,Canada,Labor,Overhead,19998.0
27,2013-12-30,Canada,Raw Materials,Overhead,19646.595017748914
28,2013-12-30,Canada,Admin,Overhead,9658.0
29,2013-12-30,Canada,Utilities,Overhead,4899.0
30,2013-12-30,Mexico,Revenue,Product A,61394.0
31,2013-12-30,Mexico,Labor,Product A,17734.0
32,2013-12-30,Mexico,Raw Materials,Product A,21161.84661155903
33,2013-12-30,Mexico,Admin,Product A,5646.0
34,2013-12-30,Mexico,Utilities,Product A,5068.0
35,2013-12-30,Mexico,Revenue,Product B,45389.87802997622
36,2013-12-30,Mexico,Labor,Product B,15393.0
37,2013-12-30,Mexico,Raw Materials,Product B,18156.878029976222
38,2013-12-30,Mexico,Admin,Product B,5241.0
39,2013-12-30,Mexico,Utilities,Product B,5041.0
40,2013-12-30,Mexico,Revenue,Overhead,48520.61269303752
41,2013-12-30,Mexico,Labor,Overhead,17513.0
42,2013-12-30,Mexico,Raw Materials,Overhead,14694.612693037521
43,2013-12-30,Mexico,Admin,Overhead,7556.0
44,2013-12-30,Mexico,Utilities,Overhead,3775.0
45,2014-01-06,United States,Revenue,Product A,76531.0
46,2014-01-06,United States,Labor,Product A,18226.0
47,2014-01-06,United States,Raw Materials,Product A,21210.109459315154
48,2014-01-06,United States,Admin,Product A,8073.0
49,2014-01-06,United States,Utilities,Product A,4021.0
50,2014-01-06,United States,Revenue,Product B,37269.97609113595
51,2014-01-06,United States,Labor,Product B,13843.0
52,2014-01-06,United States,Raw Materials,Product B,12097.97609113595
53,2014-01-06,United States,Admin,Product B,5161.0
54,2014-01-06,United States,Utilities,Product B,3201.0
55,2014-01-06,United States,Revenue,Overhead,38778.56410681115
56,2014-01-06,United States,Labor,Overhead,10995.0
57,2014-01-06,United States,Raw Materials,Overhead,11425.564106811153
58,2014-01-06,United States,Admin,Overhead,8798.0
59,2014-01-06,United States,Utilities,Overhead,4275.0
60,2014-01-06,Canada,Revenue,Product A,74276.0
61,2014-01-06,Canada,Labor,Product A,11016.0
62,2014-01-06,Canada,Raw Materials,Product A,13048.10840809297
63,2014-01-06,Canada,Admin,Product A,5337.0
64,2014-01-06,Canada,Utilities,Product A,3878.0
65,2014-01-06,Canada,Revenue,Product B,50202.60858400441
66,2014-01-06,Canada,Labor,Product B,19268.0
67,2014-01-06,Canada,Raw Materials,Product B,19936.60858400441
68,2014-01-06,Canada,Admin,Product B,5379.0
69,2014-01-06,Canada,Utilities,Product B,3492.0
70,2014-01-06,Canada,Revenue,Overhead,47181.70979446234
71,2014-01-06,Canada,Labor,Overhead,17208.0
72,2014-01-06,Canada,Raw Materials,Overhead,15805.709794462342
73,2014-01-06,Canada,Admin,Overhead,7568.0
74,2014-01-06,Canada,Utilities,Overhead,4367.0
75,2014-01-06,Mexico,Revenue,Product A,98190.0
